game_id,home_team,away_team,commence_time,sportsbook,team,odds,snapshot_date,days_until_game,game_id_simple
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,williamhill_us,Pittsburgh Steelers,162,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,betus,Atlanta Falcons,-190,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,betus,Pittsburgh Steelers,163,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,mybookieag,Atlanta Falcons,-183,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,mybookieag,Pittsburgh Steelers,148,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,betonlineag,Atlanta Falcons,-190,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,betonlineag,Pittsburgh Steelers,165,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,lowvig,Atlanta Falcons,-190,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,lowvig,Pittsburgh Steelers,165,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,betmgm,Atlanta Falcons,-185,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,betmgm,Pittsburgh Steelers,150,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,bovada,Atlanta Falcons,-185,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
92665529cce6b8089e793d1e7d5e4b66,Atlanta Falcons,Pittsburgh Steelers,2024-09-08 17:00:00+00:00,bovada,Pittsburgh Steelers,160,2024-09-07 13:55:38+00:00,1,Atlanta Falcons vs Pittsburgh Steelers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,fanduel,Carolina Panthers,172,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,fanduel,New Orleans Saints,-205,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,draftkings,Carolina Panthers,164,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,draftkings,New Orleans Saints,-198,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,williamhill_us,Carolina Panthers,170,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,williamhill_us,New Orleans Saints,-205,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,betrivers,Carolina Panthers,165,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,betrivers,New Orleans Saints,-205,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,mybookieag,Carolina Panthers,164,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,mybookieag,New Orleans Saints,-204,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,lowvig,Carolina Panthers,173,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,lowvig,New Orleans Saints,-198,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,betonlineag,Carolina Panthers,173,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,betonlineag,New Orleans Saints,-198,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,betus,Carolina Panthers,175,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,betus,New Orleans Saints,-205,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,betmgm,Carolina Panthers,165,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,betmgm,New Orleans Saints,-200,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,bovada,Carolina Panthers,165,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
022add645ca37d612dbb69e8ef02f6b9,New Orleans Saints,Carolina Panthers,2024-09-08 17:00:00+00:00,bovada,New Orleans Saints,-195,2024-09-07 13:55:38+00:00,1,New Orleans Saints vs Carolina Panthers
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,fanduel,Chicago Bears,-196,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,fanduel,Tennessee Titans,164,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,draftkings,Chicago Bears,-185,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,draftkings,Tennessee Titans,154,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,betrivers,Chicago Bears,-195,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,betrivers,Tennessee Titans,155,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,williamhill_us,Chicago Bears,-190,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,williamhill_us,Tennessee Titans,158,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,mybookieag,Chicago Bears,-193,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,mybookieag,Tennessee Titans,155,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,betus,Chicago Bears,-175,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,betus,Tennessee Titans,150,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,betonlineag,Chicago Bears,-177,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,betonlineag,Tennessee Titans,157,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,lowvig,Chicago Bears,-177,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,lowvig,Tennessee Titans,157,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
b5b9d07cdd5c7bd14e943ccd7973e6a2,Chicago Bears,Tennessee Titans,2024-09-08 17:00:00+00:00,betmgm,Chicago Bears,-190,2024-09-07 13:55:38+00:00,1,Chicago Bears vs Tennessee Titans
